date,min_edst,max_kp,category
2017-02-06,-16.5263671875,3.67,quiet
2017-02-07,-22.7568359375,2.67,quiet
2017-02-08,-12.5224609375,1.67,quiet
2017-02-09,nan,2.33,missing
2017-02-10,nan,2.33,missing
2017-02-11,-10.544921875,2.67,quiet
2017-02-12,-9.720703125,1.67,quiet
2017-02-13,nan,2.33,missing
2017-02-14,-8.3330078125,0.67,quiet
2017-02-15,-8.0859375,1.33,quiet
2017-02-16,-49.03515625,3.33,disturbance
2017-02-17,-42.0361328125,4.33,disturbance
2017-02-18,-48.681640625,4.33,disturbance
2017-02-19,-21.6796875,3.33,quiet
2017-02-20,-19.228515625,3.33,quiet
2017-02-21,nan,2.0,missing
2017-02-22,-22.53893280029297,3.67,quiet
2017-02-23,-34.8171875,3.33,disturbance
2017-02-24,nan,4.67,missing
2017-02-25,nan,2.67,missing
2017-02-26,nan,1.0,missing
2017-02-27,nan,3.0,missing
2017-02-28,nan,2.67,missing
2017-03-01,nan,5.67,missing
2017-03-02,nan,5.33,missing
2017-03-03,-37.75390625,4.0,disturbance
2017-03-04,-19.763671875,4.33,disturbance
2017-03-05,-26.40546875,4.33,disturbance
2017-03-06,nan,5.0,missing
2017-03-07,-14.208984375,3.33,quiet
2017-03-08,-22.7802734375,3.67,quiet
2017-03-09,-29.2234375,3.67,quiet
2017-03-10,-33.57578125,3.33,disturbance
2017-03-11,-18.125,3.67,quiet
2017-03-12,-21.7548828125,3.67,quiet
2017-03-13,-12.170572916666666,1.33,quiet
2017-03-14,-12.333984375,1.67,quiet
2017-03-15,-12.570963541666666,3.0,quiet
2017-03-16,-26.268880208333332,2.67,quiet
2017-03-17,-8.62890625,1.33,quiet
2017-03-18,-6.111979166666667,1.0,quiet
2017-03-19,-8.848307291666666,0.67,quiet
2017-03-20,-9.720703125,0.67,quiet
2017-03-21,-61.443359375,5.33,disturbance
2017-03-22,-43.14609375,4.33,disturbance
2017-03-23,-54.717447916666664,4.0,disturbance
2017-03-24,-30.4671875,2.33,disturbance
2017-03-25,-10.866536458333334,1.33,quiet
2017-03-26,-10.520182291666666,1.67,quiet
2017-03-27,-80.2177734375,6.33,disturbance
2017-03-28,-50.423828125,5.33,disturbance
2017-03-29,nan,4.33,missing
2017-03-30,-39.329427083333336,4.33,disturbance
2017-03-31,-35.814453125,4.67,disturbance
2017-04-01,-16.626953125,4.33,disturbance
2017-04-02,nan,3.0,missing
2017-04-03,-18.103515625,2.0,quiet
2017-04-04,-65.86197916666667,4.67,disturbance
2017-04-05,-22.87265625,3.33,quiet
2017-04-06,-24.48203125,3.0,quiet
2017-04-07,-36.612630208333336,3.33,disturbance
2017-04-08,-38.16015625,4.33,disturbance
2017-04-09,-39.5703125,4.67,disturbance
2017-04-10,-12.751953125,2.33,quiet
2017-04-11,-15.70078125,3.67,quiet
2017-04-12,-55.180582682291664,3.0,disturbance
2017-04-13,-34.88271484375,2.33,disturbance
2017-04-14,-51.98515625,3.33,disturbance
2017-04-15,-54.97724609375,3.33,disturbance
2017-04-16,-70.7894287109375,1.33,disturbance
2017-04-17,-79.3861083984375,1.33,disturbance
2017-04-18,-68.1971435546875,3.0,disturbance
2017-04-19,-71.5789794921875,4.33,disturbance
2017-04-20,-98.94368489583333,5.67,disturbance
2017-04-21,-72.14469401041667,5.0,disturbance
2017-04-22,-70.14697265625,5.67,disturbance
2017-04-23,nan,5.33,missing
2017-04-24,-79.65511067708333,4.0,disturbance
2017-04-25,-22.76953125,3.0,quiet
2017-04-26,-15.180989583333334,2.67,quiet
2017-04-27,nan,2.33,missing
