Date,Tmin_50-90N_K,T_90N_K,T_50N_K,T_60-90N_K,U_60N_m/s
2001-01-28,200.57,218.44,228.25,223.49,28.59
2001-01-29,200.97,223.1,228.1,224.71,30.06
2001-01-30,200.32,227.92,228.14,227.52,25.8
2001-01-31,205.45,238.88,227.09,231.23,19.09
2001-02-01,203.22,238.58,226.89,232.94,16.31
2001-02-02,205.77,238.28,226.41,232.56,12.66
2001-02-03,207.2,230.45,228.34,229.82,13.53
2001-02-04,207.6,230.83,229.0,229.16,9.77
2001-02-05,202.78,231.06,228.57,230.59,12.43
2001-02-06,205.34,239.52,226.47,232.15,8.64
2001-02-07,206.62,236.11,226.56,232.14,3.84
2001-02-08,210.51,233.53,227.38,230.71,4.11
2001-02-09,211.7,232.62,226.35,229.67,2.97
2001-02-10,212.7,225.62,226.6,227.88,2.35
2001-02-11,213.48,226.72,226.93,226.22,-0.88
2001-02-12,214.12,229.09,226.59,225.53,-1.99
2001-02-13,209.19,228.43,226.82,225.53,-1.64
2001-02-14,202.93,226.08,227.09,226.29,0.43
2001-02-15,198.46,226.25,227.13,227.16,-1.29
2001-02-16,197.59,227.56,226.99,228.12,-5.25
2001-02-17,199.84,229.59,227.5,228.27,-11.77
2001-02-18,203.14,233.81,227.91,228.12,-11.47
2001-02-19,206.51,234.63,228.01,227.07,-11.52
2001-02-20,207.49,227.81,227.37,224.85,-8.32
2001-02-21,208.11,219.76,226.74,222.62,-6.46
2001-02-22,207.16,214.37,226.36,220.51,-6.96
2001-02-23,207.3,210.78,225.78,219.51,-4.93
2001-02-24,207.98,208.48,225.29,218.94,-2.58
2001-02-25,207.71,210.91,224.7,218.28,2.14
2001-02-26,209.81,215.39,224.37,218.14,6.76
2001-02-27,208.66,214.88,224.42,217.18,9.18
2001-02-28,207.88,215.54,224.41,216.96,6.04
2001-03-01,206.62,214.71,223.83,216.48,4.87
2001-03-02,205.43,213.74,222.96,216.04,5.1
2001-03-03,207.14,213.13,222.48,215.56,4.36
2001-03-04,208.04,213.19,222.45,215.22,5.64
2001-03-05,206.95,213.94,222.27,214.7,7.65
2001-03-06,206.74,213.73,221.92,214.62,9.61
2001-03-07,206.4,213.55,221.24,214.22,9.63
2001-03-08,205.97,213.72,221.16,213.92,8.59
2001-03-09,205.42,212.98,221.06,213.72,8.77
2001-03-10,206.48,211.97,221.31,213.52,9.2
2001-03-11,206.84,210.27,221.2,213.26,10.2
2001-03-12,205.12,209.56,221.05,212.95,10.03
2001-03-13,205.24,209.38,221.48,213.17,8.9
2001-03-14,206.12,209.5,221.59,213.18,8.03
2001-03-15,206.07,209.46,221.57,213.0,8.41
2001-03-16,205.62,209.35,222.06,212.71,8.38
2001-03-17,205.45,209.72,222.38,212.97,8.95
