date,min_edst,max_kp,category
2019-07-22,-19.047526041666668,2.33,quiet
2019-07-23,-17.48046875,2.0,quiet
2019-07-24,-15.149088541666666,1.33,quiet
2019-07-25,-8.886067708333334,1.0,quiet
2019-07-26,-6.3828125,0.33,quiet
2019-07-27,-18.0625,2.33,quiet
2019-07-28,nan,1.67,missing
2019-07-29,-17.802734375,1.67,quiet
2019-07-30,-24.83359375,3.33,quiet
2019-07-31,-18.506510416666668,2.67,quiet
2019-08-01,-20.852864583333332,3.33,quiet
2019-08-02,-10.826171875,1.0,quiet
2019-08-03,-23.720703125,0.67,quiet
2019-08-04,-13.246744791666666,1.67,quiet
2019-08-05,-68.91484375,5.33,disturbance
2019-08-06,nan,3.0,missing
2019-08-07,-18.349609375,2.33,quiet
2019-08-08,nan,2.67,missing
2019-08-09,-13.705078125,2.67,quiet
2019-08-10,-19.875,2.67,quiet
2019-08-11,-14.463541666666666,2.33,quiet
2019-08-12,-14.856119791666666,1.67,quiet
2019-08-13,-19.085286458333332,2.0,quiet
2019-08-14,-10.2216796875,1.33,quiet
2019-08-15,-9.787760416666666,1.33,quiet
2019-08-16,nan,2.0,missing
2019-08-17,nan,2.0,missing
2019-08-18,-17.806640625,2.67,quiet
2019-08-19,nan,1.0,missing
2019-08-20,-8.662109375,1.67,quiet
2019-08-21,-14.044921875,1.33,quiet
2019-08-22,-15.1630859375,2.33,quiet
2019-08-23,-13.1435546875,1.67,quiet
2019-08-24,nan,2.0,missing
2019-08-25,-10.495442708333334,1.67,quiet
2019-08-26,-26.2109375,2.33,quiet
2019-08-27,-25.232421875,3.0,quiet
2019-08-28,nan,2.0,missing
2019-08-29,-13.4638671875,1.67,quiet
2019-08-30,nan,3.33,missing
2019-08-31,-59.48046875,5.67,disturbance
2019-09-01,-23.2275390625,5.33,disturbance
2019-09-02,-34.748046875,5.0,disturbance
2019-09-03,-11.1318359375,3.0,quiet
2019-09-04,-16.216796875,3.0,quiet
2019-09-05,-29.833984375,4.0,disturbance
2019-09-06,-14.572265625,3.33,quiet
2019-09-07,-12.49365234375,2.33,quiet
2019-09-08,-41.018229166666664,2.67,disturbance
2019-09-09,-42.793619791666664,3.33,disturbance
2019-09-10,-15.6015625,2.0,quiet
2019-09-11,-14.802083333333334,2.0,quiet
2019-09-12,-21.94140625,2.0,quiet
2019-09-13,-14.470703125,2.67,quiet
2019-09-14,-13.998046875,2.0,quiet
2019-09-15,-13.7177734375,3.0,quiet
2019-09-16,-21.776041666666668,4.0,disturbance
2019-09-17,-19.07421875,3.67,quiet
2019-09-18,-16.4765625,3.0,quiet
2019-09-19,-11.897786458333334,1.33,quiet
2019-09-20,-9.642578125,1.0,quiet
2019-09-21,-33.0,2.33,disturbance
2019-09-22,-29.81640625,2.33,quiet
2019-09-23,-9.609375,1.33,quiet
2019-09-24,-21.55859375,3.67,quiet
2019-09-25,-9.283203125,2.0,quiet
2019-09-26,-9.44921875,2.33,quiet
2019-09-27,-89.20182291666667,5.33,disturbance
2019-09-28,-43.143229166666664,4.67,disturbance
2019-09-29,-33.367838541666664,3.67,disturbance
2019-09-30,-39.1171875,3.67,disturbance
2019-10-01,-21.514322916666668,4.0,disturbance
2019-10-02,-12.31884765625,3.0,quiet
2019-10-03,-11.373046875,1.67,quiet
